world,scale,block_index,base_sequence,raw_class,price_move_pct,avg_abs_body_pct,avg_range_pct,avg_volume,avg_auditory,avg_visual_sharpness,avg_field_pressure,avg_form_flow,avg_energy_shift,passive_only,influences_action
BTC_2024_5M,100,1,lauter_feldkontakt->normale_weltspannung,gemischte_rohwelt,0.620686,0.067869,0.106348,64.56769,0.409218,0.66695,0.102733,0.022036,0.007491,1,0
BTC_2024_5M,100,2,normale_weltspannung->offen_suchend,bewegungsreiche_rohwelt,5.324921,0.118524,0.214962,208.880931,0.417344,0.669806,0.106941,0.172587,0.011316,1,0
BTC_2024_5M,100,3,offen_suchend->offen_suchend,gemischte_rohwelt,1.469527,0.129972,0.231403,225.559735,0.369329,0.635838,0.096612,0.071441,-0.000876,1,0
BTC_2024_5M,100,4,offen_suchend->offen_suchend,gemischte_rohwelt,-1.521367,0.151678,0.258044,237.072534,0.388397,0.632083,0.100733,-0.047082,0.001233,1,0
BTC_2024_5M,100,5,offen_suchend->normale_weltspannung,gemischte_rohwelt,0.655294,0.126414,0.230362,144.734201,0.421417,0.63131,0.106602,0.013558,-0.002812,1,0
BTC_2024_5M,100,6,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.040911,0.0812,0.129306,108.051195,0.408449,0.6638,0.103193,0.01066,-0.001206,1,0
BTC_2024_5M,100,8,randlastige_sinneslage->offen_suchend,gemischte_rohwelt,1.13771,0.130539,0.240212,156.05659,0.448009,0.628719,0.112693,0.028238,-0.006748,1,0
BTC_2024_5M,100,9,offen_suchend->offen_suchend,gemischte_rohwelt,-0.205176,0.107165,0.200174,125.337097,0.41492,0.632174,0.105846,0.002748,0.003086,1,0
BTC_2024_5M,100,10,offen_suchend->offen_suchend,gemischte_rohwelt,2.490198,0.142705,0.269248,213.106821,0.415971,0.630206,0.105866,0.099192,0.00239,1,0
BTC_2024_5M,100,13,randlastige_sinneslage->offen_suchend,gemischte_rohwelt,-0.000982,0.138051,0.275496,175.848582,0.43874,0.620821,0.111198,-0.001807,0.000379,1,0
BTC_2024_5M,100,16,ruhig_zentrumsnah->normale_weltspannung,gemischte_rohwelt,0.409724,0.065382,0.120266,59.784333,0.453618,0.672021,0.113302,0.024259,0.005665,1,0
BTC_2024_5M,100,17,normale_weltspannung->lauter_feldkontakt,gemischte_rohwelt,0.103741,0.072887,0.122476,57.723767,0.482094,0.66656,0.118461,0.006683,-0.000643,1,0
BTC_2024_5M,100,18,lauter_feldkontakt->normale_weltspannung,gemischte_rohwelt,1.058459,0.062192,0.117228,78.139387,0.405593,0.67959,0.102651,0.040859,0.003487,1,0
BTC_2024_5M,100,19,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,-0.977317,0.08414,0.147923,81.860356,0.442628,0.677237,0.109519,-0.03826,-0.001772,1,0
BTC_2024_5M,100,20,normale_weltspannung->offen_suchend,gemischte_rohwelt,-0.008402,0.117544,0.227938,155.637081,0.393565,0.638832,0.102682,-0.006997,-0.002978,1,0
BTC_2024_5M,100,21,offen_suchend->offen_suchend,gemischte_rohwelt,1.997455,0.137209,0.2435,220.805211,0.414123,0.651186,0.104252,0.060082,-0.001807,1,0
BTC_2024_5M,100,23,lauter_feldkontakt->normale_weltspannung,gemischte_rohwelt,-0.121218,0.113129,0.203715,152.834168,0.370922,0.647873,0.095942,-0.000783,0.001476,1,0
BTC_2024_5M,100,24,normale_weltspannung->offen_suchend,gemischte_rohwelt,0.113763,0.138905,0.289304,225.413412,0.40958,0.631115,0.104665,0.003023,0.007974,1,0
BTC_2024_5M,100,26,randlastige_sinneslage->normale_weltspannung,gemischte_rohwelt,-1.026332,0.082561,0.171509,120.073201,0.397257,0.674157,0.101336,-0.035946,-0.000217,1,0
BTC_2024_5M,100,30,randlastige_sinneslage->offen_suchend,gemischte_rohwelt,0.211791,0.268786,0.488264,577.568606,0.382334,0.579464,0.104787,0.034448,0.003743,1,0
