timestamp_ms,symbol,timeframe,open,high,low,close,volume
1760983200000000,BTCUSDT,1h,110282.76,110968.98,110220.0,110937.92,457.18317
1760986800000000,BTCUSDT,1h,110937.92,111067.33,110542.0,110803.22,464.17808
1760990400000000,BTCUSDT,1h,110803.22,111272.0,110665.03,111091.46,480.99811
1760994000000000,BTCUSDT,1h,111091.46,111243.64,110464.91,110563.2,332.06604
1760997600000000,BTCUSDT,1h,110563.2,110867.39,110418.25,110794.08,267.98447
1761001200000000,BTCUSDT,1h,110794.08,110828.75,110521.85,110532.09,285.13241
1761004800000000,BTCUSDT,1h,110532.09,110532.09,110168.0,110446.69,437.52159
1761008400000000,BTCUSDT,1h,110446.68,110489.41,109555.0,109863.19,677.1117
1761012000000000,BTCUSDT,1h,109863.18,109922.89,109303.86,109514.92,773.29938
1761015600000000,BTCUSDT,1h,109514.92,109620.31,109052.09,109059.22,517.88075
1761019200000000,BTCUSDT,1h,109059.23,109059.23,107650.94,107779.7,1936.39331
1761022800000000,BTCUSDT,1h,107779.71,107979.46,107473.72,107537.12,1531.85421
1761026400000000,BTCUSDT,1h,107537.12,108200.0,107499.19,107909.79,754.26623
1761030000000000,BTCUSDT,1h,107909.79,108200.0,107645.21,108086.37,707.81305
1761033600000000,BTCUSDT,1h,108086.38,108098.72,107484.22,107695.79,804.21106
1761037200000000,BTCUSDT,1h,107695.79,107866.72,107540.09,107754.27,543.10308
1761040800000000,BTCUSDT,1h,107754.27,108811.47,107580.0,108499.56,1096.0073
1761044400000000,BTCUSDT,1h,108499.56,108639.76,108169.81,108580.01,546.40513
1761048000000000,BTCUSDT,1h,108580.0,109485.78,108466.48,108793.4,1229.63283
1761051600000000,BTCUSDT,1h,108793.39,108913.68,107922.06,108426.98,1261.1868
1761055200000000,BTCUSDT,1h,108426.98,112290.31,108408.0,112170.52,3335.7283
1761058800000000,BTCUSDT,1h,112170.52,113557.62,111716.91,113422.61,4175.55944
1761062400000000,BTCUSDT,1h,113422.6,114000.0,112465.33,112565.88,2654.63776
1761066000000000,BTCUSDT,1h,112565.88,112993.67,111813.18,111973.42,5531.17962
1761069600000000,BTCUSDT,1h,111973.41,112297.14,111324.29,111990.55,1962.19243
1761073200000000,BTCUSDT,1h,111990.55,112200.0,111562.94,111780.39,583.46835
1761076800000000,BTCUSDT,1h,111780.4,111801.41,110554.22,110787.56,1166.16267
1761080400000000,BTCUSDT,1h,110787.56,111111.0,110111.0,110816.32,986.90737
1761084000000000,BTCUSDT,1h,110816.33,110816.33,108271.68,109066.98,2484.48697
1761087600000000,BTCUSDT,1h,109066.98,109423.19,108045.81,108297.67,1531.00726
1761091200000000,BTCUSDT,1h,108297.66,108643.61,107841.2,107986.14,1537.60176
1761094800000000,BTCUSDT,1h,107986.15,108460.02,107986.14,108364.21,1493.26761
1761098400000000,BTCUSDT,1h,108364.22,108678.21,108198.85,108198.85,699.65823
1761102000000000,BTCUSDT,1h,108198.85,108219.12,107860.92,108216.02,1121.03699
1761105600000000,BTCUSDT,1h,108216.03,108635.92,108162.09,108625.6,696.45277
1761109200000000,BTCUSDT,1h,108625.61,108638.99,107879.93,108166.81,1434.44211
1761112800000000,BTCUSDT,1h,108166.82,108331.75,107945.5,107980.02,675.25677
1761116400000000,BTCUSDT,1h,107980.02,108321.64,107610.0,108321.63,1077.00799
1761120000000000,BTCUSDT,1h,108321.64,108358.76,108079.86,108229.3,505.66169
1761123600000000,BTCUSDT,1h,108229.3,108274.43,107773.89,107963.13,557.31037
1761127200000000,BTCUSDT,1h,107963.12,108114.8,107650.0,107657.98,497.00462
1761130800000000,BTCUSDT,1h,107657.98,108207.99,106708.18,107555.05,2452.68318
1761134400000000,BTCUSDT,1h,107555.04,108399.0,107443.01,108044.96,841.76229
1761138000000000,BTCUSDT,1h,108044.96,109014.34,107630.39,108783.36,1889.17586
1761141600000000,BTCUSDT,1h,108783.35,108998.0,107500.0,108947.5,3240.71769
1761145200000000,BTCUSDT,1h,108947.49,109163.88,107737.04,108416.5,1954.01743
1761148800000000,BTCUSDT,1h,108416.5,108796.42,107877.27,108226.0,1590.12287
1761152400000000,BTCUSDT,1h,108226.0,108339.89,107566.65,107778.45,913.68528
1761156000000000,BTCUSDT,1h,107778.45,108200.0,107463.29,108023.33,668.80381
1761159600000000,BTCUSDT,1h,108023.33,108411.61,107685.61,107870.35,835.44242
1761163200000000,BTCUSDT,1h,107870.35,108069.93,107500.0,107696.03,1003.6717
1761166800000000,BTCUSDT,1h,107696.03,107749.02,106666.69,107207.98,1548.13803
1761170400000000,BTCUSDT,1h,107207.98,107683.25,106917.57,107196.82,742.32871
1761174000000000,BTCUSDT,1h,107196.82,107946.15,107169.69,107567.44,635.53433
1761177600000000,BTCUSDT,1h,107567.45,107980.52,107500.0,107845.3,396.0602
1761181200000000,BTCUSDT,1h,107845.3,108500.0,107813.2,108150.0,1012.18554
1761184800000000,BTCUSDT,1h,108150.01,108410.3,108058.66,108410.29,360.75702
1761188400000000,BTCUSDT,1h,108410.29,108720.39,108323.59,108377.96,604.50041
1761192000000000,BTCUSDT,1h,108377.96,108940.33,108350.36,108644.32,394.82009
1761195600000000,BTCUSDT,1h,108644.31,108991.81,108622.05,108940.58,448.44483
1761199200000000,BTCUSDT,1h,108940.58,110298.29,108849.07,110246.94,1472.3024
1761202800000000,BTCUSDT,1h,110246.93,110273.48,109207.75,109269.9,999.21853
1761206400000000,BTCUSDT,1h,109269.9,109903.83,109245.48,109505.44,737.41671
1761210000000000,BTCUSDT,1h,109505.45,109545.76,109123.01,109426.99,503.07972
1761213600000000,BTCUSDT,1h,109427.0,109701.9,109370.05,109439.2,401.4903
1761217200000000,BTCUSDT,1h,109439.2,109655.89,109100.4,109253.89,562.0243
1761220800000000,BTCUSDT,1h,109253.88,109253.89,108685.72,109164.94,953.31213
1761224400000000,BTCUSDT,1h,109164.95,109650.01,108800.01,109500.62,1286.55668
1761228000000000,BTCUSDT,1h,109500.62,109851.62,108723.13,109594.9,1111.45274
1761231600000000,BTCUSDT,1h,109594.9,110109.99,109486.38,109908.28,933.2687
1761235200000000,BTCUSDT,1h,109908.29,110576.5,109647.34,110263.74,883.87893
1761238800000000,BTCUSDT,1h,110263.74,111293.61,109650.0,111241.71,1605.70962
1761242400000000,BTCUSDT,1h,111241.71,111289.36,110261.48,110571.66,761.73368
1761246000000000,BTCUSDT,1h,110571.66,110619.9,110106.0,110200.0,388.99846
1761249600000000,BTCUSDT,1h,110200.01,110200.01,109341.28,109524.81,629.20848
1761253200000000,BTCUSDT,1h,109524.81,109727.22,109380.12,109532.97,424.08473
1761256800000000,BTCUSDT,1h,109532.96,110158.37,109517.37,109943.94,443.21336
1761260400000000,BTCUSDT,1h,109943.95,110099.17,109839.0,110078.18,259.37538
1761264000000000,BTCUSDT,1h,110078.19,110709.22,109983.93,110500.28,531.07612
1761267600000000,BTCUSDT,1h,110500.29,110665.53,110141.38,110585.08,371.9999
1761271200000000,BTCUSDT,1h,110585.09,110829.67,110358.34,110570.12,303.69215
1761274800000000,BTCUSDT,1h,110570.13,110630.81,110274.85,110441.46,332.11629
1761278400000000,BTCUSDT,1h,110441.46,111470.32,110332.0,111178.55,958.63918
1761282000000000,BTCUSDT,1h,111178.54,111310.31,110941.02,111261.36,515.30958
1761285600000000,BTCUSDT,1h,111261.37,111488.0,111120.71,111464.36,480.6909
1761289200000000,BTCUSDT,1h,111464.36,111522.3,110768.23,111054.61,750.55477
1761292800000000,BTCUSDT,1h,111054.61,111226.02,110680.01,111097.8,627.57826
1761296400000000,BTCUSDT,1h,111097.79,111482.99,111000.0,111324.51,446.13074
1761300000000000,BTCUSDT,1h,111324.51,111325.42,111069.46,111114.03,346.40996
1761303600000000,BTCUSDT,1h,111114.03,111267.99,110600.0,111066.29,561.52762
1761307200000000,BTCUSDT,1h,111066.29,112104.98,110867.15,111297.01,1692.92113
1761310800000000,BTCUSDT,1h,111297.02,111451.47,110379.51,110937.94,1200.08389
1761314400000000,BTCUSDT,1h,110937.94,110937.95,109700.01,110219.17,1902.54077
1761318000000000,BTCUSDT,1h,110219.17,110620.0,109896.51,110046.91,737.57678
1761321600000000,BTCUSDT,1h,110046.92,110387.79,109797.13,110261.81,441.40283
1761325200000000,BTCUSDT,1h,110261.81,110571.18,110180.74,110235.22,368.64619
1761328800000000,BTCUSDT,1h,110235.22,110639.04,110166.0,110619.39,336.10914
1761332400000000,BTCUSDT,1h,110619.39,110945.39,110525.06,110615.07,323.90966
1761336000000000,BTCUSDT,1h,110615.07,111025.95,110478.0,110893.7,514.0647
1761339600000000,BTCUSDT,1h,110893.69,111100.0,110646.64,111085.57,915.59401
1761343200000000,BTCUSDT,1h,111085.57,111138.62,110927.23,111023.01,203.9224
1761346800000000,BTCUSDT,1h,111023.01,111123.87,110882.05,111004.89,142.67216
1761350400000000,BTCUSDT,1h,111004.9,111044.86,110672.86,110766.6,210.6583
1761354000000000,BTCUSDT,1h,110766.61,111226.67,110750.0,111070.31,235.37952
1761357600000000,BTCUSDT,1h,111070.31,111128.91,110950.02,111025.77,134.00021
1761361200000000,BTCUSDT,1h,111025.77,111136.65,110998.21,111029.99,249.3111
1761364800000000,BTCUSDT,1h,111029.99,111458.81,111029.99,111228.0,411.01306
1761368400000000,BTCUSDT,1h,111228.0,111433.54,111093.99,111386.79,235.19046
1761372000000000,BTCUSDT,1h,111386.78,111497.1,111261.01,111366.42,334.48878
1761375600000000,BTCUSDT,1h,111366.43,111820.87,111366.43,111489.6,436.39799
1761379200000000,BTCUSDT,1h,111489.59,111805.1,111488.44,111763.8,348.94057
1761382800000000,BTCUSDT,1h,111763.81,111850.13,111491.62,111521.47,474.02907
1761386400000000,BTCUSDT,1h,111521.47,111718.99,111375.81,111559.94,382.43284
1761390000000000,BTCUSDT,1h,111559.94,111664.0,111480.68,111563.81,172.78406
1761393600000000,BTCUSDT,1h,111563.81,111943.19,111530.38,111899.03,363.41104
1761397200000000,BTCUSDT,1h,111899.03,111916.0,111520.0,111680.91,355.08597
1761400800000000,BTCUSDT,1h,111680.92,111765.97,111520.01,111591.19,216.60101
1761404400000000,BTCUSDT,1h,111591.2,111591.2,111311.19,111385.18,318.98695
1761408000000000,BTCUSDT,1h,111385.18,111479.99,111164.39,111372.25,430.41077
1761411600000000,BTCUSDT,1h,111372.25,111451.16,111300.0,111374.96,134.57742
1761415200000000,BTCUSDT,1h,111374.97,111731.78,111317.34,111719.98,227.92326
1761418800000000,BTCUSDT,1h,111719.98,111720.0,111579.75,111623.45,170.60799
1761422400000000,BTCUSDT,1h,111623.46,111659.39,111370.0,111431.94,154.33849
1761426000000000,BTCUSDT,1h,111431.94,111477.76,111342.25,111477.76,133.46965
1761429600000000,BTCUSDT,1h,111477.76,111683.64,111409.54,111621.69,159.63737
1761433200000000,BTCUSDT,1h,111621.69,111675.49,111535.48,111646.27,118.29276
1761436800000000,BTCUSDT,1h,111646.27,111899.56,111544.15,111715.98,370.92714
1761440400000000,BTCUSDT,1h,111715.98,111835.85,111520.0,111644.42,270.69687
1761444000000000,BTCUSDT,1h,111644.41,111687.37,111408.54,111448.85,214.46307
1761447600000000,BTCUSDT,1h,111448.85,111500.0,111260.45,111260.46,170.69475
1761451200000000,BTCUSDT,1h,111260.46,111479.99,111260.46,111430.4,129.38461
1761454800000000,BTCUSDT,1h,111430.39,111650.9,111367.19,111615.32,209.94274
1761458400000000,BTCUSDT,1h,111615.33,111686.65,111548.75,111635.95,156.20448
1761462000000000,BTCUSDT,1h,111635.96,111724.96,111620.02,111723.98,169.97811
1761465600000000,BTCUSDT,1h,111723.98,111850.0,111723.98,111776.94,240.40616
1761469200000000,BTCUSDT,1h,111776.94,112779.81,111708.63,112528.83,1330.29795
1761472800000000,BTCUSDT,1h,112528.82,112571.26,112189.33,112477.1,337.77399
1761476400000000,BTCUSDT,1h,112477.11,113466.23,112430.56,113286.09,1079.09408
1761480000000000,BTCUSDT,1h,113286.09,113827.02,113279.85,113575.05,1229.55057
1761483600000000,BTCUSDT,1h,113575.06,114000.0,113283.8,113711.53,1099.62143
1761487200000000,BTCUSDT,1h,113711.53,113885.27,113544.02,113575.36,739.58798
1761490800000000,BTCUSDT,1h,113575.35,113725.48,113425.87,113694.97,437.55153
1761494400000000,BTCUSDT,1h,113694.97,113761.98,113290.62,113517.53,556.71599
1761498000000000,BTCUSDT,1h,113517.54,113747.85,113442.12,113442.13,319.42533
1761501600000000,BTCUSDT,1h,113442.14,113793.93,113442.13,113575.15,279.3019
1761505200000000,BTCUSDT,1h,113575.15,113720.63,113503.82,113585.99,204.67267
1761508800000000,BTCUSDT,1h,113585.98,113585.98,113283.11,113320.8,248.1548
1761512400000000,BTCUSDT,1h,113320.8,113590.48,112901.0,113497.06,464.11186
1761516000000000,BTCUSDT,1h,113497.06,115466.8,113497.06,114681.33,2524.96249
1761519600000000,BTCUSDT,1h,114681.34,114966.15,114385.13,114559.4,670.95687
1761523200000000,BTCUSDT,1h,114559.41,115176.47,114362.26,114767.29,1142.27258
1761526800000000,BTCUSDT,1h,114767.28,115388.96,114710.92,115284.01,725.93495
1761530400000000,BTCUSDT,1h,115284.01,115445.39,114815.6,114883.39,826.25748
1761534000000000,BTCUSDT,1h,114883.4,115242.65,114829.48,114958.51,587.18766
1761537600000000,BTCUSDT,1h,114958.52,115283.27,114938.01,115256.44,400.40691
1761541200000000,BTCUSDT,1h,115256.43,115652.89,115256.43,115556.57,828.01463
1761544800000000,BTCUSDT,1h,115556.56,116129.5,115361.65,116053.49,1794.85942
1761548400000000,BTCUSDT,1h,116053.5,116400.0,115489.53,115554.6,2455.66454
1761552000000000,BTCUSDT,1h,115554.59,115607.48,114900.0,115014.88,1249.66033
1761555600000000,BTCUSDT,1h,115014.88,115356.99,114814.69,115254.01,1148.54888
1761559200000000,BTCUSDT,1h,115254.01,115550.02,115120.9,115447.94,557.73562
1761562800000000,BTCUSDT,1h,115447.93,115528.74,115128.04,115362.02,745.97843
1761566400000000,BTCUSDT,1h,115362.02,115437.48,115000.0,115065.67,1172.23501
1761570000000000,BTCUSDT,1h,115065.96,115415.99,114566.83,115264.28,1010.17279
1761573600000000,BTCUSDT,1h,115264.29,115358.0,114503.99,114810.05,987.16577
1761577200000000,BTCUSDT,1h,114810.06,115224.44,114778.0,114969.68,1323.86576
1761580800000000,BTCUSDT,1h,114969.68,115636.86,114872.12,115497.57,818.25063
1761584400000000,BTCUSDT,1h,115497.57,115706.06,115311.19,115706.06,442.08673
1761588000000000,BTCUSDT,1h,115706.06,115790.0,115325.0,115342.19,400.61809
1761591600000000,BTCUSDT,1h,115342.18,115342.19,114790.81,114942.64,597.25209
1761595200000000,BTCUSDT,1h,114942.64,114942.64,114408.0,114455.17,550.98109
1761598800000000,BTCUSDT,1h,114455.17,114626.99,114135.61,114302.7,494.80813
1761602400000000,BTCUSDT,1h,114302.69,114585.01,114059.4,114112.51,475.05268
1761606000000000,BTCUSDT,1h,114112.5,114226.23,113830.01,114107.65,715.22221
1761609600000000,BTCUSDT,1h,114107.65,114374.2,113788.32,113961.67,554.9177
1761613200000000,BTCUSDT,1h,113961.67,114547.2,113961.67,114424.76,485.50547
1761616800000000,BTCUSDT,1h,114424.76,114474.1,113569.91,113936.94,686.4219
1761620400000000,BTCUSDT,1h,113936.93,114109.86,113717.0,113908.24,457.29772
1761624000000000,BTCUSDT,1h,113908.25,114076.91,113761.71,113964.59,440.12507
1761627600000000,BTCUSDT,1h,113964.6,113981.73,113483.3,113605.31,628.71639
1761631200000000,BTCUSDT,1h,113605.32,114186.01,113605.32,114115.52,542.51916
1761634800000000,BTCUSDT,1h,114115.52,114364.99,114091.51,114188.37,579.31808
1761638400000000,BTCUSDT,1h,114188.38,114480.19,114113.3,114427.23,307.52828
1761642000000000,BTCUSDT,1h,114427.23,114634.46,114205.28,114528.6,373.30544
1761645600000000,BTCUSDT,1h,114528.61,114608.78,114429.78,114595.71,230.0126
1761649200000000,BTCUSDT,1h,114595.7,114673.68,114297.06,114357.73,326.08736
1761652800000000,BTCUSDT,1h,114357.72,114517.29,114138.06,114449.55,421.93096
1761656400000000,BTCUSDT,1h,114449.55,115522.91,114449.55,115522.9,1045.59275
1761660000000000,BTCUSDT,1h,115522.91,116086.0,114223.63,115068.17,1820.63839
1761663600000000,BTCUSDT,1h,115068.18,115425.84,114516.0,114641.38,720.35046
1761667200000000,BTCUSDT,1h,114641.38,115500.0,114530.0,115341.59,754.64859
1761670800000000,BTCUSDT,1h,115341.59,115591.41,115229.45,115290.0,436.8649
1761674400000000,BTCUSDT,1h,115289.99,115366.45,114642.94,115022.8,370.32321
1761678000000000,BTCUSDT,1h,115022.8,115075.08,113566.44,113689.99,1157.95866
1761681600000000,BTCUSDT,1h,113689.0,113703.32,112324.82,112808.05,1738.00789
1761685200000000,BTCUSDT,1h,112808.05,113225.53,112211.0,112994.4,726.23538
1761688800000000,BTCUSDT,1h,112994.41,113289.02,112838.81,113224.08,336.06989
1761692400000000,BTCUSDT,1h,113224.08,113224.08,112779.57,112898.45,383.04632
1761696000000000,BTCUSDT,1h,112898.44,112898.45,112442.87,112442.88,505.29871
1761699600000000,BTCUSDT,1h,112442.87,112975.75,112100.0,112500.03,916.66416
1761703200000000,BTCUSDT,1h,112500.03,112780.0,112414.47,112666.75,352.69724
1761706800000000,BTCUSDT,1h,112666.75,112666.75,112339.77,112523.49,301.5613
1761710400000000,BTCUSDT,1h,112523.49,112878.65,112505.58,112810.55,311.50456
1761714000000000,BTCUSDT,1h,112810.56,113379.0,112807.34,113039.1,640.93765
1761717600000000,BTCUSDT,1h,113039.09,113348.78,112976.93,113284.2,443.58086
1761721200000000,BTCUSDT,1h,113284.21,113577.9,113240.01,113577.9,640.61019
1761724800000000,BTCUSDT,1h,113577.9,113624.12,112956.0,113070.94,507.26681
1761728400000000,BTCUSDT,1h,113070.94,113105.08,112768.63,112974.44,659.57288
1761732000000000,BTCUSDT,1h,112974.44,113186.58,112732.91,112870.01,425.8713
1761735600000000,BTCUSDT,1h,112870.0,113240.72,112741.26,113132.36,378.28227
1761739200000000,BTCUSDT,1h,113132.35,113325.13,113050.01,113139.13,343.38468
1761742800000000,BTCUSDT,1h,113139.13,113643.73,112705.0,112873.07,1155.92441
1761746400000000,BTCUSDT,1h,112873.08,112916.0,112234.74,112488.44,1185.34226
1761750000000000,BTCUSDT,1h,112488.45,112564.31,111401.5,111509.74,1921.74476
1761753600000000,BTCUSDT,1h,111509.74,111523.32,110960.0,111106.35,1388.36304
1761757200000000,BTCUSDT,1h,111106.35,111922.44,111002.23,111883.49,811.18965
1761760800000000,BTCUSDT,1h,111883.5,112030.23,109200.0,110806.38,4372.18973
1761764400000000,BTCUSDT,1h,110806.38,111438.65,110157.03,110640.0,1170.09639
1761768000000000,BTCUSDT,1h,110640.0,111538.16,110403.28,111433.46,728.51015
1761771600000000,BTCUSDT,1h,111433.45,111800.0,111368.02,111617.26,405.07841
1761775200000000,BTCUSDT,1h,111617.26,111618.46,110949.68,111028.2,447.25113
1761778800000000,BTCUSDT,1h,111028.2,111077.76,109733.22,110021.29,1066.79122
1761782400000000,BTCUSDT,1h,110021.3,110583.86,109703.43,110559.48,649.59178
1761786000000000,BTCUSDT,1h,110559.48,110725.64,110257.77,110460.76,575.63954
1761789600000000,BTCUSDT,1h,110460.75,111011.99,110331.04,110985.92,488.21463
1761793200000000,BTCUSDT,1h,110985.93,110985.93,110538.68,110751.47,628.73987
1761796800000000,BTCUSDT,1h,110751.48,110761.43,107925.06,108575.27,3536.96505
1761800400000000,BTCUSDT,1h,108575.26,110434.58,108420.0,110248.29,1212.17428
1761804000000000,BTCUSDT,1h,110248.28,110964.09,109978.01,110768.01,1000.82897
1761807600000000,BTCUSDT,1h,110768.01,111592.0,110639.25,111366.72,831.79805
1761811200000000,BTCUSDT,1h,111366.72,111467.01,110681.22,110714.31,1187.21618
1761814800000000,BTCUSDT,1h,110714.31,110814.0,110125.17,110171.69,659.11121
1761818400000000,BTCUSDT,1h,110171.68,110231.92,109829.54,110105.75,573.15523
1761822000000000,BTCUSDT,1h,110105.75,110144.25,109692.3,109717.29,551.05951
1761825600000000,BTCUSDT,1h,109717.19,109777.93,108280.65,108387.86,1449.48653
1761829200000000,BTCUSDT,1h,108387.86,108728.54,107400.0,107627.16,2868.53704
1761832800000000,BTCUSDT,1h,107627.15,108374.21,107610.44,108285.54,1206.17345
1761836400000000,BTCUSDT,1h,108285.54,108350.44,107328.0,107711.56,1019.91386
1761840000000000,BTCUSDT,1h,107711.56,108214.85,107559.98,108144.57,667.54851
1761843600000000,BTCUSDT,1h,108144.58,108150.56,106801.0,107486.69,1492.47982
1761847200000000,BTCUSDT,1h,107486.69,107556.65,106791.78,106837.09,766.54153
1761850800000000,BTCUSDT,1h,106837.09,107158.62,106304.34,106536.39,1440.69222
1761854400000000,BTCUSDT,1h,106536.39,107652.0,106316.17,107510.91,1205.05225
1761858000000000,BTCUSDT,1h,107510.91,107950.0,107400.0,107907.68,846.16919
1761861600000000,BTCUSDT,1h,107907.67,107939.0,107472.0,107912.81,333.78851
1761865200000000,BTCUSDT,1h,107912.81,108334.53,107600.01,108322.88,797.95117
1761868800000000,BTCUSDT,1h,108322.87,109586.94,108275.28,109317.21,1084.42941
1761872400000000,BTCUSDT,1h,109317.21,110042.16,109180.0,109619.77,1402.71517
1761876000000000,BTCUSDT,1h,109619.77,109685.32,108565.26,108857.99,866.79172
1761879600000000,BTCUSDT,1h,108858.0,109324.4,108613.11,109227.86,820.345
1761883200000000,BTCUSDT,1h,109227.87,110215.0,109114.88,110084.02,1133.07928
1761886800000000,BTCUSDT,1h,110084.02,110084.03,109691.92,109899.15,939.00824
1761890400000000,BTCUSDT,1h,109899.15,109968.71,109517.49,109650.0,532.21593
1761894000000000,BTCUSDT,1h,109650.0,109807.9,109266.58,109449.31,994.16577
1761897600000000,BTCUSDT,1h,109449.32,110100.0,109214.13,110062.44,719.63357
1761901200000000,BTCUSDT,1h,110062.45,110450.0,109807.89,109848.39,632.93862
1761904800000000,BTCUSDT,1h,109848.39,110117.32,109710.08,109819.2,375.06762
1761908400000000,BTCUSDT,1h,109819.21,110550.0,109461.53,110415.61,712.18313
1761912000000000,BTCUSDT,1h,110415.62,110681.0,109619.94,109653.19,904.10139
1761915600000000,BTCUSDT,1h,109653.2,110240.0,109366.91,110157.54,1164.32028
1761919200000000,BTCUSDT,1h,110157.54,111054.61,109590.46,110790.14,2487.24179
1761922800000000,BTCUSDT,1h,110790.14,111190.0,110132.02,110202.9,1557.65344
1761926400000000,BTCUSDT,1h,110202.9,110300.0,108671.25,108845.4,1222.91214
1761930000000000,BTCUSDT,1h,108845.4,109417.91,108635.0,109299.98,1008.03929
1761933600000000,BTCUSDT,1h,109299.98,109817.51,108974.76,109452.35,808.98594
1761937200000000,BTCUSDT,1h,109452.2,110237.66,109114.52,109828.78,824.47324
1761940800000000,BTCUSDT,1h,109828.78,109828.79,109438.12,109493.85,531.7637
1761944400000000,BTCUSDT,1h,109493.84,109750.0,109329.15,109558.48,331.78769
1761948000000000,BTCUSDT,1h,109558.48,109801.89,109483.66,109580.09,286.93529
1761951600000000,BTCUSDT,1h,109580.08,109683.31,109518.22,109608.01,177.41674
1761955200000000,BTCUSDT,1h,109608.01,109751.99,109394.81,109730.78,314.60723
1761958800000000,BTCUSDT,1h,109730.78,110048.0,109699.84,109734.11,205.95055
1761962400000000,BTCUSDT,1h,109734.1,109872.29,109478.09,109790.27,322.30901
1761966000000000,BTCUSDT,1h,109790.27,110315.54,109789.17,110226.37,486.66403
1761969600000000,BTCUSDT,1h,110226.38,110564.49,110109.58,110291.67,486.28878
1761973200000000,BTCUSDT,1h,110291.66,110382.87,110050.0,110140.79,231.47577
1761976800000000,BTCUSDT,1h,110140.78,110175.38,109933.86,110004.82,272.1363
1761980400000000,BTCUSDT,1h,110004.82,110251.67,109992.78,110071.4,284.01087
1761984000000000,BTCUSDT,1h,110071.4,110270.9,110071.4,110248.88,310.52873
1761987600000000,BTCUSDT,1h,110248.88,110254.55,109970.18,109991.29,350.98951
1761991200000000,BTCUSDT,1h,109991.29,110169.23,109854.72,110147.83,273.03449
1761994800000000,BTCUSDT,1h,110147.83,110238.78,110000.01,110137.59,193.43473
1761998400000000,BTCUSDT,1h,110137.59,110200.0,110000.01,110017.27,289.94506
1762002000000000,BTCUSDT,1h,110017.26,110054.96,109702.66,109946.27,273.80468
1762005600000000,BTCUSDT,1h,109946.26,109993.98,109728.94,109933.85,343.69011
1762009200000000,BTCUSDT,1h,109933.86,110348.0,109910.22,110310.65,619.56524
1762012800000000,BTCUSDT,1h,110310.65,110529.99,110208.49,110464.33,670.42039
1762016400000000,BTCUSDT,1h,110464.33,110495.04,110192.0,110208.97,297.51556
1762020000000000,BTCUSDT,1h,110208.96,110361.03,110193.43,110341.27,169.41416
1762023600000000,BTCUSDT,1h,110341.28,110341.28,110220.77,110299.99,109.98551
1762027200000000,BTCUSDT,1h,110300.0,110516.17,110298.17,110406.2,211.21273
1762030800000000,BTCUSDT,1h,110406.21,110426.0,109858.44,109862.85,273.04557
1762034400000000,BTCUSDT,1h,109862.85,110098.59,109862.84,110092.78,259.45939
1762038000000000,BTCUSDT,1h,110092.79,110144.49,109974.0,110098.1,129.01591
1762041600000000,BTCUSDT,1h,110098.1,110127.26,109895.27,109974.09,318.19118
1762045200000000,BTCUSDT,1h,109974.09,110091.36,109921.05,109978.01,159.66153
